,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
37,KINDEX 200TR,332500,시장지수/코스피200,3451,26080,46912,37.23,0.03,한국투자신탁운용
38,KODEX 미국FANG플러스(H),314250,해외지수/해외지수,3246,25275,338864,13.83,0.45,삼성자산운용
39,TIGER 코스닥150,232080,시장지수/코스닥,3171,15535,1069541,15.67,0.19,미래에셋자산운용
40,KODEX 골드선물(H),132030,상품/금속,2465,13090,331722,0.42,0.68,삼성자산운용
41,KOSEF 국고채10년,148070,채권/국공채권,2401,122330,7015,-1.25,0.15,키움투자자산운용
43,HANARO 단기통안채,306540,채권/단기자금,2203,102890,346,0.14,0.1,엔에이치아문디자산운용
44,KODEX 은행,091170,섹터/금융,2184,6580,688177,23.8,0.45,삼성자산운용
45,KINDEX 베트남VN30(합성),245710,해외지수/해외지수,2173,15800,103980,25.1,0.7,한국투자신탁운용
46,TIGER 글로벌4차산업혁신기술(합성 H),275980,해외지수/해외지수,2137,17330,127314,17.13,0.4,미래에셋자산운용
47,KINDEX 중국본토CSI300,168580,해외지수/해외지수,2092,32200,12692,15.12,0.7,한국투자신탁운용
48,TIGER 단기채권액티브,272580,채권/단기자금,1956,50020,6595,0.16,0.07,미래에셋자산운용
49,KBSTAR 코스피,302450,시장지수/코스피200,1928,32130,47086,34.38,0.14,케이비자산운용
50,KBSTAR 코스닥150,270810,시장지수/코스닥,1904,15245,132150,15.4,0.18,케이비자산운용
51,ARIRANG 고배당주,161510,스타일/스타일,1869,11145,159791,21.01,0.23,한화자산운용
52,HANARO 200TR,332930,시장지수/코스피200,1761,50920,10614,37.25,0.07,엔에이치아문디자산운용
53,KODEX 배당가치,325020,스타일/스타일,1714,12880,110707,28.16,0.3,삼성자산운용
54,KINDEX 단기통안채,190620,채권/단기자금,1705,100130,1327,0.14,0.07,한국투자신탁운용
56,TIGER 중국소비테마,150460,해외지수/해외지수,1651,7635,75453,9.86,0.5,미래에셋자산운용
57,KBSTAR 단기통안채,196230,채권/단기자금,1596,104215,738183,0.17,0.13,케이비자산운용
58,KODEX 자동차,091180,섹터/경기소비재,1539,23500,373100,44.57,0.45,삼성자산운용
59,TIGER 경기방어,139280,섹터/경기소비재,1492,13515,42701,18.5,0.4,미래에셋자산운용
60,TIGER 미국S&P500선물(H),143850,해외지수/해외지수,1471,44455,58502,11.23,0.3,미래에셋자산운용
61,ARIRANG 코스피TR,328370,시장지수/코스피200,1434,15700,41841,33.45,0.15,한화자산운용
62,KODEX 은선물(H),144600,상품/금속,1394,5635,1074015,12.03,0.68,삼성자산운용
63,TIGER 헬스케어,143860,섹터/의료,1384,54200,135351,18.96,0.4,미래에셋자산운용
64,KODEX Fn성장,325010,스타일/스타일,1287,19225,36188,34.63,0.3,삼성자산운용
66,KINDEX 삼성그룹섹터가중,108450,그룹주/삼성,1241,17475,28142,42.13,0.15,한국투자신탁운용
67,TIGER 미국S&P500,360750,해외지수/해외지수,1202,10520,374953,5.52,0.07,미래에셋자산운용
68,KODEX 단기변동금리부채권액티브,273140,채권/단기자금,1168,102355,254,0.13,0.15,삼성자산운용
70,KBSTAR 대형고배당10TR,315960,스타일/스타일,1148,17175,23814,43.78,0.15,케이비자산운용
73,TIGER 원유선물Enhanced(H),130680,상품/원유,1097,2310,1349300,17.56,0.7,미래에셋자산운용
74,KINDEX 미국S&P500,360200,해외지수/해외지수,1067,10635,183539,5.3,0.09,한국투자신탁운용
75,KODEX 미국S&P500선물(H),219480,해외지수/해외지수,1055,18290,78314,11.39,0.25,삼성자산운용
76,KODEX MSCI Korea,156080,시장지수/MSCI Korea Index,1049,20990,1115,39.05,0.15,삼성자산운용
77,KODEX 반도체,091160,섹터/IT,1033,35480,129851,31.55,0.45,삼성자산운용
79,KODEX KRX300,292190,시장지수/KRX300,987,20175,43405,35.77,0.05,삼성자산운용
82,TIGER 중장기국채,302190,채권/국공채권,897,52740,2906,-0.79,0.15,미래에셋자산운용
83,KBSTAR ESG사회책임투자,290130,테마/SRI,886,14190,615155,38.64,0.3,케이비자산운용
84,TIGER 유로스탁스50(합성 H),195930,해외지수/해외지수,853,12325,32965,13.44,0.25,미래에셋자산운용
85,KODEX 국고채3년,114260,채권/국공채권,837,58090,10908,-0.06,0.15,삼성자산운용
86,KODEX 중국본토CSI300,283580,해외지수/해외지수,794,14665,72829,15.61,0.55,삼성자산운용
87,KODEX 심천ChiNext(합성),256750,해외지수/해외지수,777,13205,113768,16.19,0.47,삼성자산운용
88,KBSTAR 단기국공채액티브,272560,채권/국공채권,744,101740,1403,0.26,0.07,케이비자산운용
89,TIGER KRX바이오K-뉴딜,364970,섹터/의료,743,12875,355130,24.82,0.4,미래에셋자산운용
90,SMART KRX300,292500,시장지수/KRX300,724,20000,10873,34.89,0.05,신한비엔피파리바자산운용
91,TIGER 차이나HSCEI,245360,해외지수/해외지수,716,12510,13482,7.48,0.35,미래에셋자산운용
93,KODEX 증권,102970,섹터/금융,707,8235,329797,31.44,0.45,삼성자산운용
94,TIGER 코스피,277630,시장지수/코스피200,673,31925,33611,33.02,0.15,미래에셋자산운용
95,TIGER 200TR,310960,시장지수/코스피200,663,22810,13598,37.16,0.09,미래에셋자산운용
96,KBSTAR 미국S&P원유생산기업(합성 H),219390,해외지수/해외지수,661,2915,634528,43.6,0.25,케이비자산운용
97,KODEX 미국달러선물,261240,통화/미국달러,646,9660,108594,-5.29,0.25,삼성자산운용
98,ARIRANG 신흥국MSCI(합성 H),195980,해외지수/해외지수,642,12855,34259,19.92,0.5,한화자산운용
99,KBSTAR 금융채액티브,336160,채권/회사채권,640,103280,962,0.45,0.07,케이비자산운용
100,TIGER 부동산인프라고배당,329200,기타/기타,637,5005,75419,9.95,0.29,미래에셋자산운용
101,TIGER 국채3년,114820,채권/국공채권,634,111150,11483,-0.01,0.15,미래에셋자산운용
102,TIGER 미국MSCI리츠(합성 H),182480,해외지수/해외지수,626,11930,17857,2.34,0.25,미래에셋자산운용
103,TIGER 소프트웨어,157490,섹터/IT,600,15975,108487,13.74,0.4,미래에셋자산운용
105,TIGER 반도체,091230,섹터/IT,569,36485,63415,31.86,0.46,미래에셋자산운용
106,KODEX 코스피대형주,337140,스타일/스타일,568,15350,32250,36.57,0.15,삼성자산운용
108,KBSTAR 중기우량회사채,136340,채권/회사채권,547,105195,2373,0.71,0.15,케이비자산운용
111,TIGER KRX인터넷K-뉴딜,365000,섹터/IT,504,11085,277524,4.87,0.4,미래에셋자산운용
114,KBSTAR KRX300,292050,시장지수/KRX300,488,20215,14661,34.68,0.05,케이비자산운용
115,KOSEF 단기자금,130730,채권/단기자금,487,100860,623196,0.16,0.15,키움투자자산운용
116,TIGER 농산물선물Enhanced(H),137610,상품/농산물,466,5460,85337,17.93,0.7,미래에셋자산운용
117,TIGER 미디어컨텐츠,228810,섹터/경기소비재,466,6150,140047,4.68,0.5,미래에셋자산운용
118,KOSEF 통안채1년,122260,채권/국공채권,465,101060,707916,0.21,0.15,키움투자자산운용
120,KODEX 코스피TR,359210,시장지수/코스피200,437,14560,42906,34.13,0.07,삼성자산운용
121,TIGER 미국채10년선물,305080,해외지수/해외지수,433,11395,34619,-7.06,0.29,미래에셋자산운용
123,TIGER 미국다우존스30,245340,해외지수/해외지수,425,17130,23071,4.71,0.35,미래에셋자산운용
124,KBSTAR 중장기국공채액티브,272570,채권/국공채권,415,104020,853,-0.09,0.07,케이비자산운용
125,KBSTAR IT플러스,326240,섹터/IT,414,21555,211047,32.89,0.4,케이비자산운용
126,KBSTAR 국고채3년,114100,채권/국공채권,408,113375,1313,-0.04,0.12,케이비자산운용
127,TIGER 현대차그룹+펀더멘털,138540,그룹주/현대차,401,26705,70434,46.49,0.15,미래에셋자산운용
128,KINDEX KIS종합채권(AA-이상)액티브,356540,채권/회사채권,398,99440,20,-0.41,0.07,한국투자신탁운용
129,HANARO 코스닥150,304770,시장지수/코스닥,390,15380,29801,15.94,0.2,엔에이치아문디자산운용
130,KODEX IT,266370,섹터/IT,380,22335,40864,44.8,0.45,삼성자산운용
131,TIGER KRX게임K-뉴딜,364990,섹터/IT,377,11255,229664,10.89,0.4,미래에셋자산운용
132,KODEX 미디어&엔터테인먼트,266360,섹터/IT,371,20550,23346,7.56,0.45,삼성자산운용
133,KOSEF 코스닥150,316670,시장지수/코스닥,371,7655,11855,15.0,0.15,키움투자자산운용
134,KODEX 장기종합채권(AA-이상)액티브KAP,363570,채권/회사채권,371,98280,326,-1.32,0.07,삼성자산운용
135,KBSTAR 중국본토대형주CSI100,174360,해외지수/해외지수,368,22820,77078,17.78,0.65,케이비자산운용
136,KODEX 중국본토 A50,169950,해외지수/해외지수,368,24320,17316,18.55,0.99,삼성자산운용
138,TIGER 미국달러단기채권액티브,329750,채권/단기자금,365,9335,49714,-5.66,0.3,미래에셋자산운용
140,KODEX Fn멀티팩터,337120,투자전략/투자전략,345,15005,48631,33.38,0.3,삼성자산운용
142,KODEX MSCI KOREA ESG유니버설,289040,시장지수/MSCI Korea Index,339,13000,5114,36.77,0.3,삼성자산운용
143,KOSEF 국고채3년,114470,채권/국공채권,339,112825,645,-0.02,0.15,키움투자자산운용
144,KODEX 미국나스닥100선물(H),304940,해외지수/해외지수,337,16490,48974,11.83,0.45,삼성자산운용
145,KODEX China H,099140,해외지수/해외지수,335,21285,8987,7.72,0.37,삼성자산운용
146,KODEX 건설,117700,섹터/산업재,335,3150,321065,36.66,0.45,삼성자산운용
147,TIGER 200 에너지화학,139250,섹터/소재,333,21280,66027,40.88,0.4,미래에셋자산운용
148,KINDEX 코스닥150,354500,시장지수/코스닥,325,15400,14650,15.23,0.1,한국투자신탁운용
149,TIGER KRX300,292160,시장지수/KRX300,321,20015,24906,35.1,0.09,미래에셋자산운용
151,TIGER 미국나스닥바이오,203780,해외지수/해외지수,316,19840,24410,5.39,0.3,미래에셋자산운용
152,KODEX 200가치저변동,223190,스타일/스타일,309,10990,53216,31.62,0.3,삼성자산운용
153,TREX 200,108590,시장지수/코스피200,307,43765,220,36.83,0.33,유리자산운용
156,KODEX 고배당,279530,스타일/스타일,293,8835,61005,15.49,0.3,삼성자산운용
158,파워 200,152870,시장지수/코스피200,289,44370,7931,37.2,0.15,교보악사자산운용
159,KBSTAR 200TR,361580,시장지수/코스피200,285,21900,5635,37.35,0.05,케이비자산운용
162,SMART KIS단기통안채,363510,채권/단기자금,281,100140,336,0.11,0.13,신한비엔피파리바자산운용
163,KBSTAR KQ고배당,270800,스타일/스타일,278,15450,60960,21.56,0.3,케이비자산운용
164,ARIRANG 미국S&P500(H),269540,해외지수/해외지수,278,15525,16898,11.05,0.3,한화자산운용
165,KBSTAR 글로벌4차산업IT(합성 H),276650,해외지수/해외지수,277,19840,24482,12.28,0.4,케이비자산운용
166,KOSEF 미국달러선물,138230,통화/미국달러,277,11480,13673,-5.58,0.37,키움투자자산운용
167,ARIRANG 코스피,227830,시장지수/코스피200,275,32375,17075,33.7,0.2,한화자산운용
169,TIGER 200 헬스케어,227540,섹터/의료,271,32185,21162,19.09,0.4,미래에셋자산운용
170,KODEX 배당성장,211900,스타일/스타일,270,14925,21699,21.94,0.15,삼성자산운용
172,KINDEX 중장기국공채액티브,272910,채권/국공채권,263,102375,101,-0.33,0.08,한국투자신탁운용
173,KODEX 바이오,244580,섹터/의료,263,17140,68889,18.29,0.45,삼성자산운용
174,HANARO e커머스,322400,테마/기타,263,15895,74850,11.43,0.45,엔에이치아문디자산운용
176,KOSEF 인도Nifty50(합성),200250,해외지수/해외지수,252,14610,23708,13.87,0.49,키움투자자산운용
177,ARIRANG 미국장기우량회사채,332620,채권/회사채권,251,96630,988,-6.33,0.32,한화자산운용
178,ARIRANG 단기채권액티브,278620,채권/단기자금,234,105815,773,0.18,0.13,한화자산운용
179,TIGER 200 금융,139270,섹터/금융,230,6600,40422,23.47,0.4,미래에셋자산운용
180,KODEX TRF3070,329650,기타/기타,227,10835,10661,2.07,0.24,삼성자산운용
181,KBSTAR 게임테마,300640,테마/기타,226,13600,26690,6.88,0.3,케이비자산운용
183,FOCUS KRX300,292730,시장지수/KRX300,223,20145,1260,34.52,0.1,브이아이자산운용
185,ARIRANG 고배당저변동50,251590,투자전략/투자전략,213,10335,7169,17.44,0.23,한화자산운용
186,ARIRANG 미국단기우량회사채,332610,채권/회사채권,213,92720,327,-5.36,0.32,한화자산운용
187,KODEX 배당성장채권혼합,237370,기타/기타,213,11775,6919,6.22,0.19,삼성자산운용
188,KODEX 미국러셀2000(H),280930,해외지수/해외지수,211,13770,22618,29.84,0.45,삼성자산운용
189,FOCUS ESG리더스,285690,테마/SRI,210,10730,690,29.59,0.1,브이아이자산운용
190,KODEX MSCI밸류,275290,시장지수/MSCI Korea Index,209,12990,23131,34.47,0.3,삼성자산운용
192,KODEX 미국채울트라30년선물(H),304660,해외지수/해외지수,205,12740,14628,-5.17,0.3,삼성자산운용
193,ARIRANG 코스피50,122090,시장지수/코스피50,204,30970,8854,39.25,0.33,한화자산운용
195,KODEX 200exTOP,337150,시장지수/코스피200,202,14370,155,31.17,0.3,삼성자산운용
196,TIGER KIS부동산인프라채권TR,341850,기타/기타,201,5195,17830,1.14,0.22,미래에셋자산운용
197,HANARO 고배당,322410,스타일/스타일,200,9285,43429,19.48,0.25,엔에이치아문디자산운용
200,TIGER 골드선물(H),319640,상품/금속,195,13915,19632,0.32,0.39,미래에셋자산운용
201,KINDEX 인도네시아MSCI(합성),256440,해외지수/해외지수,194,9020,27297,21.65,0.7,한국투자신탁운용
202,KINDEX 국고채3년,114460,채권/국공채권,193,107215,264,-0.06,0.15,한국투자신탁운용
203,KODEX 헬스케어,266420,섹터/의료,191,23685,33802,18.54,0.45,삼성자산운용
204,KODEX 한국대만IT프리미어,298770,기타/기타,189,19155,37091,31.38,0.55,삼성자산운용
206,ARIRANG KRX300,292750,시장지수/KRX300,182,20190,4453,35.37,0.09,한화자산운용
207,KODEX 에너지화학,117460,섹터/소재,181,19760,30777,38.09,0.45,삼성자산운용
208,HANARO KRX300,304760,시장지수/KRX300,179,19860,3004,34.7,0.05,엔에이치아문디자산운용
209,KODEX 200미국채혼합,284430,기타/기타,179,13150,11396,9.04,0.35,삼성자산운용
210,KBSTAR 200IT,285000,섹터/IT,178,18025,6361,50.65,0.19,케이비자산운용
211,ARIRANG 미국나스닥기술주,287180,해외지수/해외지수,177,19630,12778,10.53,0.5,한화자산운용
212,KODEX 필수소비재,266410,섹터/필수소비재,176,9750,16540,9.8,0.45,삼성자산운용
213,KINDEX 스마트밸류,272230,투자전략/투자전략,176,15965,15178,35.76,0.19,한국투자신탁운용
215,TIGER 화장품,228790,섹터/경기소비재,172,3490,164407,0.0,0.5,미래에셋자산운용
216,KODEX 200롱코스닥150숏선물,360140,기타/기타,172,11455,7477,15.36,0.64,삼성자산운용
217,TIGER 코스피고배당,210780,스타일/스타일,170,12245,10552,22.75,0.29,미래에셋자산운용
218,KODEX 미국S&P에너지(합성),218420,해외지수/해외지수,167,5320,49686,27.27,0.25,삼성자산운용
220,TIGER AI코리아그로스액티브,365040,시장지수/코스피200,165,13755,191311,33.03,0.4,미래에셋자산운용
221,KINDEX 밸류대형,143460,투자전략/투자전략,165,10295,23926,39.59,0.15,한국투자신탁운용
222,파워 코스피100,140950,시장지수/코스피100,163,33770,325,36.61,0.16,교보악사자산운용
223,KTOP 코스피50,168300,시장지수/코스피50,160,31320,698,38.58,0.3,하나유비에스자산운용
224,TIGER 여행레저,228800,섹터/경기소비재,159,4420,186461,13.77,0.5,미래에셋자산운용
225,TIGER 삼성그룹펀더멘털,138520,그룹주/삼성,159,13450,13056,42.18,0.15,미래에셋자산운용
227,TIGER 단기선진하이일드(합성 H),182490,해외지수/해외지수,158,12145,2486,4.07,0.25,미래에셋자산운용
228,KODEX 구리선물(H),138910,상품/금속,158,6910,35933,21.87,0.68,삼성자산운용
229,TIGER 200커뮤니케이션서비스,315270,시장지수/코스피200,157,28080,3769,10.25,0.4,미래에셋자산운용
230,KBSTAR 채권혼합,183700,기타/기타,156,64865,226,10.25,0.2,케이비자산운용
232,KODEX 최소변동성,279540,투자전략/투자전략,155,12900,12045,17.65,0.3,삼성자산운용
233,KINDEX 미국WideMoat가치주,309230,해외지수/해외지수,154,14130,12194,9.88,0.4,한국투자신탁운용
234,TIGER S&P글로벌헬스케어(합성),248270,해외지수/해외지수,153,15480,3805,3.44,0.4,미래에셋자산운용
235,KODEX 국채선물10년,152380,채권/국공채권,153,70740,6683,-1.54,0.25,삼성자산운용
236,KODEX 코스피100,237350,시장지수/코스피100,152,33870,8092,37.01,0.15,삼성자산운용
237,KODEX 200IT TR,363580,섹터/IT,152,15155,3981,51.02,0.15,삼성자산운용
238,KINDEX 미국IT인터넷S&P(합성 H),280320,해외지수/해외지수,149,18530,3299,9.77,0.5,한국투자신탁운용
239,KOSEF Fn중소형,331910,스타일/스타일,148,21160,908,17.48,0.3,키움투자자산운용
241,KODEX KTOP30,229720,테마/우량주,143,23910,3919,36.16,0.25,삼성자산운용
242,ARIRANG KS모멘텀가중TR,333960,투자전략/투자전략,143,16855,17767,32.35,0.25,한화자산운용
243,KODEX 글로벌4차산업로보틱스(합성),276990,해외지수/해외지수,142,16880,11601,23.21,0.3,삼성자산운용
244,TIGER KTOP30,228820,테마/우량주,142,11775,5678,35.34,0.25,미래에셋자산운용
245,KODEX 3대농산물선물(H),271060,상품/농산물,141,9710,26411,20.02,0.55,삼성자산운용
246,TIGER 200 건설,139220,섹터/산업재,141,2680,233687,38.5,0.4,미래에셋자산운용
247,KOSEF 코스피100,153270,시장지수/코스피100,141,33480,5051,37.25,0.2,키움자산운용
248,KBSTAR 중소형고배당,281990,스타일/스타일,139,11045,17696,18.0,0.3,케이비자산운용
250,KBSTAR 고배당,266160,스타일/스타일,137,12440,71344,32.27,0.2,케이비자산운용
251,KBSTAR 중국MSCI China선물(H),310080,해외지수/해외지수,137,14645,60911,12.14,0.6,케이비자산운용
252,TIGER 200 중공업,139230,섹터/산업재,136,3080,195739,28.87,0.4,미래에셋자산운용
254,TIGER 글로벌자원생산기업(합성 H),276000,해외지수/해외지수,135,12355,2072,26.07,0.4,미래에셋자산운용
255,TIGER 유로스탁스배당30,245350,해외지수/해외지수,135,11250,14769,13.8,0.35,미래에셋자산운용
256,KBSTAR 코스피ex200,361590,시장지수/코스피200,135,12290,7107,18.0,0.25,케이비자산운용
257,TIGER 코스피중형주,277650,스타일/스타일,134,15720,7013,22.81,0.29,미래에셋자산운용
258,마이티 코스피100,159800,시장지수/코스피100,134,33000,27,35.3,0.39,DB자산운용
260,KINDEX 스마트모멘텀,272220,투자전략/투자전략,132,18865,14473,35.91,0.19,한국투자신탁운용
261,ARIRANG 우량회사채50 1년,239660,채권/회사채권,130,108435,157632,0.18,0.14,한화자산운용
263,TIGER 코스피대형주,277640,스타일/스타일,128,15945,8386,36.87,0.29,미래에셋자산운용
264,KODEX 코스닥150롱코스피200숏선물,360150,기타/기타,127,8490,3741,-15.02,0.64,삼성자산운용
265,KODEX 모멘텀Plus,244620,투자전략/투자전략,127,12585,12070,8.68,0.3,삼성자산운용
266,KOSEF KRX100,100910,시장지수/KRX100,126,6985,2373,36.44,0.23,키움투자자산운용
267,KINDEX 싱가포르리츠,316300,해외지수/해외지수,125,11400,3460,-1.81,0.4,한국투자신탁운용
268,KODEX 미국채10년선물,308620,해외지수/해외지수,124,11330,9860,-5.54,0.3,삼성자산운용
269,KODEX 혁신기술테마액티브,364690,테마/기타,124,13720,90408,33.46,0.3,삼성자산운용
270,KODEX 게임산업,300950,테마/기타,123,13650,25763,7.82,0.45,삼성자산운용
271,TIGER 일본TOPIX헬스케어(합성),248260,해외지수/해외지수,123,12445,391,0.12,0.4,미래에셋자산운용
272,TIGER LG그룹+펀더멘털,138530,그룹주/LG,123,11525,32819,34.8,0.15,미래에셋자산운용
274,TIGER 일본니케이225,241180,해외지수/해외지수,119,17415,3348,14.33,0.35,미래에셋자산운용
275,ARIRANG 고배당주채권혼합,251600,기타/기타,117,10635,5847,7.97,0.2,한화자산운용
276,KINDEX S&P아시아TOP50,277540,해외지수/해외지수,116,15705,21019,20.3,0.7,한국투자신탁운용
277,KODEX TRF7030,329670,기타/기타,116,11610,4392,4.59,0.1,삼성자산운용
278,KINDEX 러시아MSCI(합성),265690,해외지수/해외지수,116,25805,5343,16.42,0.5,한국투자신탁운용
279,TIGER 코스닥150바이오테크,261070,시장지수/코스닥,115,15715,15873,12.49,0.4,미래에셋자산운용
281,TIGER 모멘텀,147970,투자전략/투자전략,114,22780,11593,18.92,0.29,미래에셋자산운용
282,KBSTAR 주식혼합,183710,기타/기타,114,45605,449,25.11,0.25,케이비자산운용
283,TIGER 경기방어채권혼합,237440,기타/기타,113,10275,5699,5.31,0.2,미래에셋자산운용
284,ARIRANG KS퀄리티가중TR,333980,투자전략/투자전략,113,16135,10919,29.86,0.25,한화자산운용
285,KODEX 철강,117680,섹터/소재,113,8000,59452,34.68,0.45,삼성자산운용
287,KODEX TRF5050,329660,기타/기타,112,11235,5091,3.36,0.17,삼성자산운용
288,KBSTAR V&S셀렉트밸류,234310,투자전략/투자전략,111,15830,3228,30.77,0.3,케이비자산운용
289,KODEX 삼성그룹밸류,213610,그룹주/삼성,111,10085,36391,35.92,0.15,삼성자산운용
290,KBSTAR 모멘텀로우볼,252730,투자전략/투자전략,110,16820,5170,35.59,0.35,케이비자산운용
291,ARIRANG KS밸류가중TR,333970,투자전략/투자전략,109,15610,15921,35.09,0.25,한화자산운용
292,KODEX S&P글로벌인프라(합성),269420,해외지수/해외지수,109,10895,2919,6.55,0.26,삼성자산운용
293,KINDEX 스마트하이베타,322150,투자전략/투자전략,109,15510,470,40.62,0.19,한국투자신탁운용
294,KBSTAR KRX300미국달러선물혼합,319870,기타/기타,108,15480,84,27.56,0.3,케이비자산운용
295,KINDEX 일본Nikkei225(H),238720,해외지수/해외지수,108,18390,3442,18.53,0.3,한국투자신탁운용
296,KINDEX 스마트로우볼,322130,투자전략/투자전략,107,17900,2102,34.43,0.19,한국투자신탁운용
298,KBSTAR 헬스케어채권혼합,253290,기타/기타,106,13220,14266,6.23,0.35,케이비자산운용
299,TREX 펀더멘탈 200,145850,투자전략/투자전략,105,41910,84,37.52,0.34,유리자산운용
300,TIGER 증권,157500,섹터/금융,104,4805,69390,29.69,0.4,미래에셋자산운용
303,TIGER 의료기기,307510,섹터/의료,103,20385,8582,-9.92,0.5,미래에셋자산운용
305,TIGER 코스닥150IT,261060,시장지수/코스닥,101,16770,44645,14.94,0.4,미래에셋자산운용
306,KINDEX 스마트퀄리티,322120,투자전략/투자전략,100,20085,1543,34.8,0.19,한국투자신탁운용
308,TIGER 구리실물,160580,상품/금속,100,8230,5535,14.15,0.85,미래에셋자산운용
309,SMART 선진국MSCI World(합성 H),208470,해외지수/해외지수,99,16680,38,13.39,0.35,신한비엔피파리바자산운용
310,KINDEX 모닝스타싱가포르리츠채권혼합,342140,해외지수/해외지수,99,9995,464,-0.2,0.4,한국투자신탁운용
311,TIGER 로우볼,174350,투자전략/투자전략,99,11735,6054,18.18,0.4,미래에셋자산운용
312,SMART 중국본토 중소형 CSI500(합성 H),220130,해외지수/해외지수,98,5445,4070,8.47,0.6,신한비엔피파리바자산운용
313,KBSTAR 헬스케어,253280,섹터/의료,98,19505,6249,20.29,0.4,케이비자산운용
314,TIGER 우량가치,227570,테마/우량주,98,10800,9703,18.88,0.4,미래에셋자산운용
315,KODEX 보험,140700,섹터/금융,97,6080,67683,18.06,0.45,삼성자산운용
316,KINDEX 코스피,305050,시장지수/코스피200,97,32220,6111,33.28,0.13,한국투자신탁운용
318,KODEX 200동일가중,252650,시장지수/코스피200,94,11715,730,24.3,0.25,삼성자산운용
319,KOSEF 블루칩,104520,테마/우량주,94,10465,3686,28.09,0.4,키움투자자산운용
321,KOSEF 200 선물,152280,시장지수/코스피200,92,19620,629,36.96,0.23,키움투자자산운용
322,KODEX 일본TOPIX100,101280,해외지수/해외지수,92,15625,2208,11.25,0.37,삼성자산운용
323,KODEX 미국S&P산업재(합성),200030,해외지수/해외지수,92,17295,2563,6.76,0.25,삼성자산운용
324,KODEX 200ESG,337160,테마/SRI,91,15180,8376,39.33,0.3,삼성자산운용
325,TIGER 일본TOPIX(합성 H),195920,해외지수/해외지수,91,15320,1220,11.91,0.25,미래에셋자산운용
