,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes
63,MABMBM01INQ661S,2021-01-12,2021-01-12,"Broad Money, Index for India (DISCONTINUED)",1955-01-01,2013-10-01,Quarterly,Q,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-03-12 10:55:19-05,1,2,"OECD descriptor ID: MABMBM01
OECD unit ID: IXOBSA
OECD country ID: IND

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
64,MANMNM01IDM661S,2021-01-12,2021-01-12,"Narrow Money, Index for Indonesia (DISCONTINUED)",1990-02-01,2013-12-01,Monthly,M,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:51-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: IDN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
65,MANMNM01IDA661S,2021-01-12,2021-01-12,"Narrow Money, Index for Indonesia (DISCONTINUED)",1991-01-01,2013-01-01,Annual,A,Index 2010=1,Index 2010=1,Not Seasonally Adjusted,NSA,2014-05-05 09:22:51-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: IDN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
66,MANMNM01IDQ661S,2021-01-12,2021-01-12,"Narrow Money, Index for Indonesia (DISCONTINUED)",1990-04-01,2013-10-01,Quarterly,Q,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:51-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: IDN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
67,MANMNM01SEA661S,2021-01-12,2021-01-12,"Narrow Money, Index for Sweden (DISCONTINUED)",1999-01-01,2013-01-01,Annual,A,Index 2010=1,Index 2010=1,Not Seasonally Adjusted,NSA,2014-05-05 09:22:27-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: SWE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
68,MANMNM01SEM661S,2021-01-12,2021-01-12,"Narrow Money, Index for Sweden (DISCONTINUED)",1998-02-01,2013-12-01,Monthly,M,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:27-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: SWE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
69,MANMNM01SEQ661S,2021-01-12,2021-01-12,"Narrow Money, Index for Sweden (DISCONTINUED)",1998-04-01,2013-10-01,Quarterly,Q,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:27-05,1,2,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: SWE

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
70,MABMBM01KRM661S,2021-01-12,2021-01-12,"Broad Money, Index for the Republic of Korea (DISCONTINUED)",1980-02-01,2013-12-01,Monthly,M,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:23:44-05,1,2,"OECD descriptor ID: MABMBM01
OECD unit ID: IXOBSA
OECD country ID: KOR

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
71,MABMBM01KRQ661S,2021-01-12,2021-01-12,"Broad Money, Index for the Republic of Korea (DISCONTINUED)",1980-04-01,2013-10-01,Quarterly,Q,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:23:43-05,1,2,"OECD descriptor ID: MABMBM01
OECD unit ID: IXOBSA
OECD country ID: KOR

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
72,MABMBM01KRA661S,2021-01-12,2021-01-12,"Broad Money, Index for the Republic of Korea (DISCONTINUED)",1981-01-01,2013-01-01,Annual,A,Index 2010=1,Index 2010=1,Not Seasonally Adjusted,NSA,2014-05-05 09:23:44-05,0,2,"OECD descriptor ID: MABMBM01
OECD unit ID: IXOBSA
OECD country ID: KOR

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
73,MANMNM01INM657S,2021-01-12,2021-01-12,"Narrow Money, Index for India (DISCONTINUED)",1955-02-01,2013-12-01,Monthly,M,Growth Rate Previous Period,Growth Rate Previous Period,Seasonally Adjusted,SA,2014-03-12 10:51:47-05,1,3,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: IND

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
74,MANMNM01INQ657S,2021-01-12,2021-01-12,"Narrow Money, Index for India (DISCONTINUED)",1955-04-01,2013-10-01,Quarterly,Q,Growth Rate Previous Period,Growth Rate Previous Period,Seasonally Adjusted,SA,2014-03-12 10:51:46-05,1,3,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: IND

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
75,MANMNM01INA657S,2021-01-12,2021-01-12,"Narrow Money, Index for India (DISCONTINUED)",1956-01-01,2013-01-01,Annual,A,Growth Rate Previous Period,Growth Rate Previous Period,Not Seasonally Adjusted,NSA,2014-03-12 10:51:49-05,1,3,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: IND

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
76,CHNMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for China,1990-04-01,2018-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2019-09-11 11:21:27-05,8,12,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: CHN All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
77,OCM3P,2021-01-12,2021-01-12,Real User Cost Index of MSI-M3 (preferred) (DISCONTINUED),1967-01-01,2006-02-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2012-09-18 12:01:06-05,1,1,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
78,DMIPNCUKQ,2021-01-12,2021-01-12,Divisia Money Index: Private Non-financial Corporations in the United Kingdom,1977-01-01,2016-10-01,Quarterly,Q,Index 1977:Q1=100,Index 1977:Q1=100,Seasonally Adjusted,SA,2017-06-09 08:54:15-05,1,1,"This series was constructed by the Bank of England as part of the Three Centuries of Macroeconomic Data project by combining data from a number of academic and official sources. For more information, please refer to the Three Centuries spreadsheet at https://www.bankofengland.co.uk/statistics/research-datasets. Users are advised to check the underlying assumptions behind this series in the relevant worksheets of the spreadsheet. In many cases alternative assumptions might be appropriate. Users are permitted to reproduce this series in their own work as it represents Bank calculations and manipulations of underlying series that are the copyright of the Bank of England provided that underlying sources are cited appropriately. For appropriate citation please see the Three Centuries spreadsheet for guidance and a list of the underlying sources."
79,OCALLA,2021-01-12,2021-01-12,Real User Cost Index of MSI-ALL Assets (alternative),1967-01-01,2013-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2014-01-17 07:16:42-06,1,1,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
80,OCM3A,2021-01-12,2021-01-12,Real User Cost Index of MSI-M3 (alternative) (DISCONTINUED),1967-01-01,2006-02-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2013-06-20 16:46:03-05,1,1,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
81,DMIHHPNFCUKQ,2021-01-12,2021-01-12,Divisia Money Index: Household Sector and Private Non-Financial Corporations in the United Kingdom,1977-01-01,2016-10-01,Quarterly,Q,Index 1977:Q1=100,Index 1977:Q1=100,Seasonally Adjusted,SA,2017-06-09 08:53:54-05,1,1,"This series was constructed by the Bank of England as part of the Three Centuries of Macroeconomic Data project by combining data from a number of academic and official sources. For more information, please refer to the Three Centuries spreadsheet at https://www.bankofengland.co.uk/statistics/research-datasets. Users are advised to check the underlying assumptions behind this series in the relevant worksheets of the spreadsheet. In many cases alternative assumptions might be appropriate. Users are permitted to reproduce this series in their own work as it represents Bank calculations and manipulations of underlying series that are the copyright of the Bank of England provided that underlying sources are cited appropriately. For appropriate citation please see the Three Centuries spreadsheet for guidance and a list of the underlying sources."
82,OCM1A,2021-01-12,2021-01-12,Real User Cost Index of MSI-M1 (alternative),1967-01-01,2013-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2014-01-17 07:16:42-06,1,1,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
83,DMIHSUKQ,2021-01-12,2021-01-12,Divisia Money Index: Household Sector in the United Kingdom,1977-01-01,2016-10-01,Quarterly,Q,Index 1977:Q1=100,Index 1977:Q1=100,Seasonally Adjusted,SA,2017-06-09 08:54:14-05,1,1,"This series was constructed by the Bank of England as part of the Three Centuries of Macroeconomic Data project by combining data from a number of academic and official sources. For more information, please refer to the Three Centuries spreadsheet at https://www.bankofengland.co.uk/statistics/research-datasets. Users are advised to check the underlying assumptions behind this series in the relevant worksheets of the spreadsheet. In many cases alternative assumptions might be appropriate. Users are permitted to reproduce this series in their own work as it represents Bank calculations and manipulations of underlying series that are the copyright of the Bank of England provided that underlying sources are cited appropriately. For appropriate citation please see the Three Centuries spreadsheet for guidance and a list of the underlying sources."
